-1,http://www.cs.utexas.edu/users/mooney/ml-course/welcome.html,CS 395T: Machine Learning
-1,http://www.cs.utexas.edu/users/fussell/cs354.html,CS354 - Computer Graphics - Spring 1996
-1,http://www.cs.utexas.edu/users/novak/cs375.html,CS 375: Compilers
-1,http://www.cs.utexas.edu/users/twang/cs387h/index.html,CS 387H Database System Implementation
-1,http://www.cs.utexas.edu/users/novak/cs304p.html,CS 304P: Foundations of Computer Science
-1,http://www.cs.utexas.edu/users/lorenzo/corsi/cs395t/96F/,CS 395T Reading List (Fall 96)
-1,http://www.cs.utexas.edu/users/novak/cs381k.html,CS 381K: Artificial Intelligence
-1,http://www.cs.utexas.edu/users/fussell/cs384g,CS384G - Computer Graphics - Fall 1995
-1,http://www.cs.utexas.edu/users/xfeng/cs105/cs105.html,CS 105 C++ Fall 1996
-1,http://www.cs.utexas.edu/users/hqliu/cs378.html,CS378
-1,http://www.cs.utexas.edu/users/vin/cs395t.html,CS395T: Multimedia Communication and Databases
-1,http://www.cs.utexas.edu/users/vlr/f96.html,"CS388G: Algorithms: Techniques and Theory, Fall 1996"
-1,http://www.cs.utexas.edu/users/dragon/cs310/,CS310 Fall 1996
-1,http://www.cs.utexas.edu/users/risto/cs378-nn/,"CS378 Neural Networks, Fall 1996"
-1,http://www.cs.utexas.edu/users/almstrum/classes/cs336/fall96/,CS 336: Analysis of Programs
-1,http://www.cs.utexas.edu/users/miranker/395t/index.html,"CS395T, Mining and Monitoring Databases"
-1,http://www.cs.utexas.edu/users/novak/cs395t.html,CS 395T: Automatic Programming
-1,http://www.cs.utexas.edu/users/joshi/cs380d-main.html,CS 380D : Distributed Computing I
-1,http://www.cs.wisc.edu/~mbirk/cs302/,CS302 Section 12
-1,http://www.cs.wisc.edu/~cs367-3/cs367.html,CS 367
-1,http://www.cs.wisc.edu/~turnidge/cs302.html,"CS302, Section 19"
-1,http://www.cs.wisc.edu/~cs132-3/cs132.html,CS132 Using Computers - Lectures 3 &amp; 4
-1,http://www.cs.wisc.edu/~cs310-2/cs310.html,CS310 Home Page
-1,http://www.cs.wisc.edu/~strik/cs310.html,CS310 Home Page
-1,http://www.cs.wisc.edu/~greg/cs302.html,CS 302 Fall 1996 - Sections 6 and 9
-1,http://www.cs.wisc.edu/~mreames/cs302.html,Home Page for Martin Reames's CS 302 class
-1,http://www.cs.wisc.edu/~cs726-1/,"CS 726, Fall 1996"
-1,http://www.cs.wisc.edu/~dyer/cs766.html,CS 766 - Computer Vision
-1,http://www.cs.wisc.edu/~markhill/cs752.html,CS/ECE 752 Fall 1996-1997
-1,http://www.cs.wisc.edu/~arch/uwarch/courses/cs757.html,CS 757 Home Page
-1,http://www.cs.wisc.edu/~cs132-4/cs132.html,CS132 Using Computers - Lectures 3 &amp; 4
