what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400617984580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618001792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400618008880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400618012324
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618020569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618020572
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618020700
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618022509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618022513
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618022686
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618024083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618024087
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618024255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400618027763
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400618028912
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618029177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618029180
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618029302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618031572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618036348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400618039528
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618043364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618043367
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618043488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618045296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618050853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400618052770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400618053551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400618054278
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618054471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618054476
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618054598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618057317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618088092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400618091762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400618092605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400618093437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400618094421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618094528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618094533
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618094656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618096054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618100345
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618102026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618102032
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618102158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618103683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618113779
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1400618124740
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618125011
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618125048
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1400618126049
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618126307
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618126342
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1400618126835
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618127254
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618127296
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1400618127786
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618128024
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618128067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618135615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618138042
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1400618141832
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618142065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618143183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1400618143213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618146698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400618148998
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618156584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618156588
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618156715
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400618157998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618159796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618184406
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1400618184534
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1400618184564
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1400618194749
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1400618198149
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1400618200585
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400618200588
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400618202620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618204278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618231284
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618283060
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618283067
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618283204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618287912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400618288000
error,log,,,"Unhandled event loop exception",1400618288037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400618289706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400618289710
