what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483061537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483062900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483066159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1399483086093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483099236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483118758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399483120509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399483129461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483134492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399483137580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399483139556
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1399483152282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483154674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483160601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483163132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483183162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483186516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483189920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483192780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483194372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483196874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399483201967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399483202896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483203120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483204782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399483208136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399483211186
