what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399498645873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399498647062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399498647362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399498649236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399498649320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399498650354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399498650819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503750376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503751976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503752727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503753976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503754907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503755847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503756561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503757578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503758233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399503770606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399503774025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399504293571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399504295034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505573010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399505578397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399505602303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399505605750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399505607041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399505607419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505630097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505660598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505690864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505704623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505722301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505725442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505727413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399505728673
