what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400619459045
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400619459170
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400619461286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619463792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619498097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400619524125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619525402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619529359
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1400619531710
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1400619531716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619534275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619598575
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400619600732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400619601588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619732608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619777809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619782229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619782972
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400619783014
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400619783068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619783818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619811345
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400619812048
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400619815161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400619816600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619821260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619821337
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400619822825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400619823433
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.extract.method",1400619823478
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400619823513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400619824197
